"PERMISSION","STATUS","INFO","DESCRIPTION","CODE MAPPINGS"
"android.permission.SYSTEM_ALERT_WINDOW","dangerous","display system-level alerts","Allows an application to show system-alert windows. Malicious applications can take over the entire screen of the phone.","Show Files                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            com/airbnb/android/react/maps/AirMapCircleManager.java                                                                                                                                                                                                    com/airbnb/android/react/maps/AirMapGradientPolylineManager.java                                                                                                                                                                                                    com/airbnb/android/react/maps/AirMapLocalTileManager.java                                                                                                                                                                                                    com/airbnb/android/react/maps/AirMapOverlayManager.java                                                                                                                                                                                                    com/airbnb/android/react/maps/AirMapPolygonManager.java                                                                                                                                                                                                    com/airbnb/android/react/maps/AirMapPolylineManager.java                                                                                                                                                                                                    com/airbnb/android/react/maps/AirMapUrlTileManager.java                                                                                                                                                                                                    com/airbnb/android/react/maps/AirMapWMSTileManager.java                                                                                                                                                                                                    com/brightcove/player/util/VideoFormatSelectorUtil.java                                                                                                                                                                                                    com/brightcove/player/video360/RotationMonitor.java                                                                                                                                                                                                    com/gm/android_auto_core/ui/CardSizedButton.java                                                                                                                                                                                                    com/microsoft/identity/common/internal/ui/DualScreenActivity.java                                                                                                                                                                                                    defpackage/b73.java                                                                                                                                                                                                    defpackage/cy6.java                                                                                                                                                                                                    defpackage/ey6.java                                                                                                                                                                                                    defpackage/iy6.java                                                                                                                                                                                                    defpackage/j6.java                                                                                                                                                                                                    defpackage/ku5.java                                                                                                                                                                                                    defpackage/lx6.java                                                                                                                                                                                                    defpackage/pv3.java                                                                                                                                                                                                    defpackage/qd.java                                                                                                                                                                                                    defpackage/qf1.java                                                                                                                                                                                                    defpackage/qk5.java                                                                                                                                                                                                    defpackage/qs7.java                                                                                                                                                                                                    defpackage/un7.java                                                                                                                                                                                                    defpackage/vx6.java                                                                                                                                                                                                    defpackage/wf0.java                                                                                                                                                                                                    defpackage/wr6.java                                                                                                                                                                                                    defpackage/yu4.java                                                                                                                                                                                                    defpackage/yx6.java                                                                                                                                                                                                    defpackage/zx6.java"
"android.permission.USE_BIOMETRIC","normal","allows use of device-supported biometric modalities.","Allows an app to use device supported biometric modalities.",""
"android.permission.USE_FINGERPRINT","normal","allow use of fingerprint","This constant was deprecated in API level 28. Applications should request USE_BIOMETRIC instead.","Show Files                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    com/gm/tardis/core/security/TardisBiometricAuth.java                                                                                                                                                                                                    defpackage/o32.java                                                                                                                                                                                                    defpackage/r32.java"
"android.permission.VIBRATE","normal","control vibrator","Allows the application to control the vibrator.",""
"android.permission.WAKE_LOCK","normal","prevent phone from sleeping","Allows an application to prevent the phone from going to sleep.","Show Files                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    com/RNFetchBlob/RNFetchBlob.java                                                                                                                                                                                                    com/RNFetchBlob/RNFetchBlobReq.java                                                                                                                                                                                                    com/brightcove/player/display/ExoPlayerVideoDisplayComponent.java                                                                                                                                                                                                    com/brightcove/player/display/VideoDisplayComponent.java                                                                                                                                                                                                    com/brightcove/player/view/BaseVideoView.java                                                                                                                                                                                                    com/learnium/RNDeviceInfo/RNDeviceModule.java                                                                                                                                                                                                    com/reactnativecommunity/webview/RNCWebViewModule.java                                                                                                                                                                                                    defpackage/e67.java                                                                                                                                                                                                    defpackage/gf2.java                                                                                                                                                                                                    defpackage/ow6.java                                                                                                                                                                                                    defpackage/pi1.java                                                                                                                                                                                                    defpackage/sr7.java"
"android.permission.WRITE_CALENDAR","dangerous","add or modify calendar events and send emails to guests","Allows an application to add or change the events on your calendar, which may send emails to guests. Malicious applications can use this to erase or modify your calendar events or to send emails to guests.",""
"android.permission.WRITE_EXTERNAL_STORAGE","dangerous","read/modify/delete external storage contents","Allows an application to write to external storage.","Show Files                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        com/RNFetchBlob/RNFetchBlob.java                                                                                                                                                                                                    com/RNFetchBlob/RNFetchBlobReq.java                                                                                                                                                                                                    com/activeandroid/DatabaseHelper.java                                                                                                                                                                                                    com/airbnb/android/react/maps/AirMapModule.java                                                                                                                                                                                                    com/brightcove/player/util/FileUtil.java                                                                                                                                                                                                    com/eclipsesource/v8/LibraryLoader.java                                                                                                                                                                                                    com/gm/android_auto_core/ui/AutoVehicleImageView.java                                                                                                                                                                                                    com/gm/energyassistant/datamodels/JsonSaveFile.java                                                                                                                                                                                                    com/gm/energyassistant/datamodels/localStorage/LocalStorageProvider.java                                                                                                                                                                                                    com/gm/energyassistant/datamodels/localStorage/TileJournal.java                                                                                                                                                                                                    com/gm/plugin/owner_manual/ui/fullscreen/b.java                                                                                                                                                                                                    com/gm/tardis/core/mail/TardisAndroidMail.java                                                                                                                                                                                                    com/gm/tardis/core/ownermanual/TardisOwnerManual.java                                                                                                                                                                                                    com/microsoft/identity/common/adal/internal/cache/StorageHelper.java                                                                                                                                                                                                    com/microsoft/identity/common/java/util/FileUtil.java                                                                                                                                                                                                    com/oblador/vectoricons/VectorIconsModule.java                                                                                                                                                                                                    com/reactnativecommunity/asyncstorage/AsyncStorageModule.java                                                                                                                                                                                                    com/reactnativedocumentpicker/DocumentPickerModule.java                                                                                                                                                                                                    defpackage/cg5.java                                                                                                                                                                                                    defpackage/dg5.java                                                                                                                                                                                                    defpackage/e22.java                                                                                                                                                                                                    defpackage/ee7.java                                                                                                                                                                                                    defpackage/fh6.java                                                                                                                                                                                                    defpackage/ga1.java                                                                                                                                                                                                    defpackage/gt5.java                                                                                                                                                                                                    defpackage/i22.java                                                                                                                                                                                                    defpackage/lu5.java                                                                                                                                                                                                    defpackage/lx3.java                                                                                                                                                                                                    defpackage/ma1.java                                                                                                                                                                                                    defpackage/nl3.java                                                                                                                                                                                                    defpackage/nm4.java                                                                                                                                                                                                    defpackage/od.java                                                                                                                                                                                                    defpackage/p22.java                                                                                                                                                                                                    defpackage/p24.java                                                                                                                                                                                                    defpackage/pe9.java                                                                                                                                                                                                    defpackage/pk1.java                                                                                                                                                                                                    defpackage/pq4.java                                                                                                                                                                                                    defpackage/sn5.java                                                                                                                                                                                                    defpackage/uy0.java                                                                                                                                                                                                    defpackage/v22.java                                                                                                                                                                                                    defpackage/vf5.java                                                                                                                                                                                                    defpackage/vh5.java                                                                                                                                                                                                    defpackage/y04.java                                                                                                                                                                                                    org/slf4j/impl/SimpleLoggerConfiguration.java"
"com.android.vending.CHECK_LICENSE","unknown","Unknown permission","Unknown permission from android reference",""
"com.google.android.c2dm.permission.RECEIVE","normal","recieve push notifications","Allows an application to receive push notifications from cloud.","Show Files                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                defpackage/du3.java                                                                                                                                                                                                    defpackage/e02.java                                                                                                                                                                                                    defpackage/e67.java                                                                                                                                                                                                    defpackage/ki.java                                                                                                                                                                                                    defpackage/ow6.java                                                                                                                                                                                                    defpackage/pi1.java                                                                                                                                                                                                    defpackage/pw8.java                                                                                                                                                                                                    defpackage/sv9.java"
"com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE","normal","permission defined by google","A custom permission defined by Google.",""
"com.google.android.gms.permission.ACTIVITY_RECOGNITION","dangerous","allow application to recognize physical activity","Allows an application to recognize physical activity.",""
"com.google.android.gms.permission.CAR_VENDOR_EXTENSION","unknown","Unknown permission","Unknown permission from android reference",""
