"PERMISSION","STATUS","INFO","DESCRIPTION","CODE MAPPINGS"
"android.permission.READ_EXTERNAL_STORAGE","dangerous","read external storage contents","Allows an application to read from external storage.","Show Files                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            a30/a.java                                                                                                                                                                                                    b/a.java                                                                                                                                                                                                    b20/w.java                                                                                                                                                                                                    b3/n.java                                                                                                                                                                                                    c/t/m/g/b3.java                                                                                                                                                                                                    c/t/m/g/l3.java                                                                                                                                                                                                    c2/j.java                                                                                                                                                                                                    ch/qos/logback/core/joran/GenericConfigurator.java                                                                                                                                                                                                    ch/qos/logback/core/joran/action/PropertyAction.java                                                                                                                                                                                                    ch/qos/logback/core/rolling/helper/Compressor.java                                                                                                                                                                                                    ch/qos/logback/core/util/FileUtil.java                                                                                                                                                                                                    com/bmwgroup/connected/app/CarApplicationQueryReceiver.java                                                                                                                                                                                                    com/bmwgroup/connected/car/internal/app/ZipCreator.java                                                                                                                                                                                                    com/bmwgroup/connected/core/services/accessory/UsbAccessorySocket.java                                                                                                                                                                                                    com/bmwgroup/connected/internal/ui/resource/CarAssetManagerAndroid.java                                                                                                                                                                                                    com/bmwgroup/connected/sdk/connectivity/internal/security/model/certificates/InternalStorageStorePersistence.java                                                                                                                                                                                                    com/bmwgroup/connected/sdk/internal/connectivity/protocol/util/Installation.java                                                                                                                                                                                                    com/bmwgroup/connected/util/cache/FileBackedCacheSerializable.java                                                                                                                                                                                                    com/bmwgroup/connected/util/util/FileHelper.java                                                                                                                                                                                                    com/bmwgroup/connected/util/util/Files.java                                                                                                                                                                                                    com/bmwgroup/connected/util/util/Installation.java                                                                                                                                                                                                    com/criticalblue/approovsdk/isoproc/IsolatedService.java                                                                                                                                                                                                    com/mapbox/common/PlatformStreamFactoryKt.java                                                                                                                                                                                                    com/pichillilorenzo/flutter_inappwebview/Util.java                                                                                                                                                                                                    com/sensorsdata/analytics/android/sdk/advert/oaid/SAOaidHelper.java                                                                                                                                                                                                    com/sensorsdata/analytics/android/sdk/util/AppInfoUtils.java                                                                                                                                                                                                    com/sensorsdata/analytics/android/sdk/util/DeviceUtils.java                                                                                                                                                                                                    com/sensorsdata/analytics/android/sdk/util/FileUtils.java                                                                                                                                                                                                    d7/b0.java                                                                                                                                                                                                    f10/j.java                                                                                                                                                                                                    f20/a.java                                                                                                                                                                                                    f7/b.java                                                                                                                                                                                                    fn/c.java                                                                                                                                                                                                    gn/c.java                                                                                                                                                                                                    j0/u.java                                                                                                                                                                                                    j3/a.java                                                                                                                                                                                                    ki/i.java                                                                                                                                                                                                    km/k0.java                                                                                                                                                                                                    l4/d.java                                                                                                                                                                                                    l4/v.java                                                                                                                                                                                                    ly/count/android/sdk/c2.java                                                                                                                                                                                                    ly/count/android/sdk/h.java                                                                                                                                                                                                    ly/count/android/sdk/m0.java                                                                                                                                                                                                    mm/g.java                                                                                                                                                                                                    np/a.java                                                                                                                                                                                                    p9/k.java                                                                                                                                                                                                    px/k.java                                                                                                                                                                                                    px/m.java                                                                                                                                                                                                    qh/a.java                                                                                                                                                                                                    qm/e.java                                                                                                                                                                                                    sm/a.java                                                                                                                                                                                                    t8/a.java                                                                                                                                                                                                    uh/b.java                                                                                                                                                                                                    yi/d.java"
"android.permission.READ_MEDIA_IMAGES","dangerous","allows reading image files from external storage.","Allows an application to read image files from external storage.","Show Files                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        c/t/m/g/l0.java                                                                                                                                                                                                    c/t/m/g/l3.java                                                                                                                                                                                                    ch/qos/logback/core/android/AndroidContextUtil.java                                                                                                                                                                                                    jt/b.java                                                                                                                                                                                                    qh/a.java                                                                                                                                                                                                    t8/a.java"
"android.permission.READ_PHONE_STATE","dangerous","read phone state and identity","Allows the application to access the phone features of the device. An application with this permission can determine the phone number and serial number of this phone, whether a call is active, the number that call is connected to and so on.","Show Files                                                                                                                                                                                                                                                                                                                                                                                                                                                                    c/t/m/g/b5.java                                                                                                                                                                                                    c/t/m/g/i5.java"
"android.permission.RECEIVE_BOOT_COMPLETED","normal","automatically start at boot","Allows an application to start itself as soon as the system has finished booting. This can make it take longer to start the phone and allow the application to slow down the overall phone by always running.","Show Files                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    a10/b.java                                                                                                                                                                                                    bg/j.java                                                                                                                                                                                                    c/t/m/g/g.java                                                                                                                                                                                                    c/t/m/g/h5.java                                                                                                                                                                                                    c/t/m/g/q5.java                                                                                                                                                                                                    c/t/m/g/r4.java                                                                                                                                                                                                    com/bmw/downloader/services/BluetoothBroadcastReceiver.java                                                                                                                                                                                                    com/bmw/smacc/gms/digitalkey/GmsDigitalKeyChangedBroadcastReceiver.java                                                                                                                                                                                                    com/bmwgroup/carconnection/usb/UsbAccessoryLaunchActivity.java                                                                                                                                                                                                    com/bmwgroup/connected/CarContext.java                                                                                                                                                                                                    com/bmwgroup/connected/app/CarApplicationLauncher.java                                                                                                                                                                                                    com/bmwgroup/connected/app/CarApplicationQueryReceiver.java                                                                                                                                                                                                    com/bmwgroup/connected/car/app/ApplicationManager.java                                                                                                                                                                                                    com/bmwgroup/connected/car/internal/app/InternalApplication.java                                                                                                                                                                                                    com/bmwgroup/connected/car/internal/remoting/RemotingWatcherResponder.java                                                                                                                                                                                                    com/bmwgroup/connected/car/internal/remoting/SyncBroadcaster.java                                                                                                                                                                                                    com/bmwgroup/connected/car/internal/remoting/gen/CarCoreReceiver.java                                                                                                                                                                                                    com/bmwgroup/connected/car/internal/remoting/gen/CarSdkReceiver.java                                                                                                                                                                                                    com/bmwgroup/connected/coex/discovery/BluetoothBroadcastReceiver.java                                                                                                                                                                                                    com/bmwgroup/connected/coex/event/BluetoothCoexEventAggregator.java                                                                                                                                                                                                    com/bmwgroup/connected/core/am/ApplicationManagerCarApplication.java                                                                                                                                                                                                    com/bmwgroup/connected/core/av/InternalCarAudioManager.java                                                                                                                                                                                                    com/bmwgroup/connected/core/car/CarApplicationRegisteringReceiver.java                                                                                                                                                                                                    com/bmwgroup/connected/core/car/CarCorePackageRemovedReceiver.java                                                                                                                                                                                                    com/bmwgroup/connected/core/car/CdsMonitor.java                                                                                                                                                                                                    com/bmwgroup/connected/core/car/CdsRecorder.java                                                                                                                                                                                                    com/bmwgroup/connected/core/services/accessory/BtServiceBroadcastHandler.java                                                                                                                                                                                                    com/bmwgroup/connected/core/services/accessory/NotificationService.java                                                                                                                                                                                                    com/bmwgroup/connected/core/services/accessory/UsbAudioVolumeHandler.java                                                                                                                                                                                                    com/bmwgroup/connected/core/services/accessory/UsbService.java                                                                                                                                                                                                    com/bmwgroup/connected/core/speech/CdsSpeechEngineObserver.java                                                                                                                                                                                                    com/bmwgroup/connected/internal/car/CdsBroadcaster.java                                                                                                                                                                                                    com/bmwgroup/connected/internal/car/CdsObserver.java                                                                                                                                                                                                    com/bmwgroup/connected/internal/speech/InternalSpeechManager.java                                                                                                                                                                                                    com/bmwgroup/connected/internal/sys/BroadcastReceiverWrapper.java                                                                                                                                                                                                    com/bmwgroup/connected/internal/util/BroadcastRegistrationHelper.java                                                                                                                                                                                                    com/bmwgroup/connected/media/CarAudioManager.java                                                                                                                                                                                                    com/bmwgroup/connected/sdk/connectivity/internal/wifi/network/tracker/BroadcastWifiMonitor.java                                                                                                                                                                                                    com/bmwgroup/connected/sdk/connectivity/wifiscanner/DeviceStateReceiver.java                                                                                                                                                                                                    com/bmwgroup/connected/sdk/internal/connectivity/connectionstate/InternalConnectionEventAggregatorImpl.java                                                                                                                                                                                                    com/bmwgroup/connected/sdk/internal/connectivity/protocol/PairingBroadcastReceiver.java                                                                                                                                                                                                    com/bmwgroup/connected/sdk/util/ContextWrapper.java                                                                                                                                                                                                    com/bmwgroup/connected/sdk/util/LocalBroadcastManager.java                                                                                                                                                                                                    com/bmwgroup/connected/util/ui/BaseActivity.java                                                                                                                                                                                                    com/bmwgroup/connected/util/ui/BaseListActivity.java                                                                                                                                                                                                    com/bmwgroup/connected/util/ui/BaseLockActivity.java                                                                                                                                                                                                    com/bmwgroup/kju/remoting/a.java                                                                                                                                                                                                    com/criticalblue/approovsdk/b.java                                                                                                                                                                                                    com/dexterous/flutterlocalnotifications/ActionBroadcastReceiver.java                                                                                                                                                                                                    com/dexterous/flutterlocalnotifications/ScheduledNotificationBootReceiver.java                                                                                                                                                                                                    com/dexterous/flutterlocalnotifications/ScheduledNotificationReceiver.java                                                                                                                                                                                                    com/mapbox/common/battery/AndroidBatteryMonitor.java                                                                                                                                                                                                    com/mapbox/common/location/LocationServiceImpl.java                                                                                                                                                                                                    com/mapbox/common/location/LocationUpdatesReceiver.java                                                                                                                                                                                                    com/mapbox/common/movement/GoogleActivityRecognition.java                                                                                                                                                                                                    com/pichillilorenzo/flutter_inappwebview/chrome_custom_tabs/ActionBroadcastReceiver.java                                                                                                                                                                                                    com/sensorsdata/analytics/android/sdk/util/NetworkUtils.java                                                                                                                                                                                                    d9/u.java                                                                                                                                                                                                    de/bmw/connected/lib/audio/player/MediaButtonReceiver.java                                                                                                                                                                                                    de/bmw/connected/lib/util/OnSubscribeBroadcastRegister.java                                                                                                                                                                                                    dev/fluttercommunity/plus/share/SharePlusPendingIntent.java                                                                                                                                                                                                    ff/c.java                                                                                                                                                                                                    io/flutter/plugins/camerax/DeviceOrientationManager.java                                                                                                                                                                                                    io/flutter/plugins/firebase/messaging/FlutterFirebaseMessagingReceiver.java                                                                                                                                                                                                    io/flutter/plugins/urllauncher/WebViewActivity.java                                                                                                                                                                                                    j4/l0.java                                                                                                                                                                                                    j4/u.java                                                                                                                                                                                                    k8/e.java                                                                                                                                                                                                    kf/j.java                                                                                                                                                                                                    ku/a.java                                                                                                                                                                                                    lt/a.java                                                                                                                                                                                                    na/z0.java                                                                                                                                                                                                    o3/z.java                                                                                                                                                                                                    p001if/b.java                                                                                                                                                                                                    p4/i.java                                                                                                                                                                                                    po/h.java                                                                                                                                                                                                    qj/b.java                                                                                                                                                                                                    rj/p0.java                                                                                                                                                                                                    rk/bg.java                                                                                                                                                                                                    rk/u6.java                                                                                                                                                                                                    td/a.java                                                                                                                                                                                                    v3/d.java                                                                                                                                                                                                    v6/e.java                                                                                                                                                                                                    wi/g.java                                                                                                                                                                                                    wi/l.java                                                                                                                                                                                                    xd/a.java                                                                                                                                                                                                    yc/d.java                                                                                                                                                                                                    yf/a.java                                                                                                                                                                                                    yt/d.java                                                                                                                                                                                                    zl/f.java"
"android.permission.RECORD_AUDIO","dangerous","record audio","Allows application to access the audio record path.","Show Files                                                                                                                                                                                                                                                        b1/s.java                                                                                                                                                                                                    c1/a.java"
"android.permission.SCHEDULE_EXACT_ALARM","normal","permits exact alarm scheduling for background work.","Allows an app to use exact alarm scheduling APIs to perform timing sensitive background work.",""
"android.permission.USE_BIOMETRIC","normal","allows use of device-supported biometric modalities.","Allows an app to use device supported biometric modalities.","Show Files                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                u/a.java                                                                                                                                                                                                    u/d.java                                                                                                                                                                                                    u/f.java                                                                                                                                                                                                    u/i.java"
"android.permission.USE_FINGERPRINT","normal","allow use of fingerprint","This constant was deprecated in API level 28. Applications should request USE_BIOMETRIC instead.","Show Files                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    e2/a.java"
"android.permission.VIBRATE","normal","control vibrator","Allows the application to control the vibrator.","Show Files                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    iu/a.java                                                                                                                                                                                                    nu/a.java                                                                                                                                                                                                    po/e.java"
"android.permission.WAKE_LOCK","normal","prevent phone from sleeping","Allows an application to prevent the phone from going to sleep.","Show Files                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                b4/a.java                                                                                                                                                                                                    c/t/m/g/g.java                                                                                                                                                                                                    c/t/m/g/g5.java                                                                                                                                                                                                    c/t/m/g/l4.java                                                                                                                                                                                                    com/baseflow/geolocator/GeolocatorLocationService.java                                                                                                                                                                                                    com/bmwgroup/carconnection/service/CarConnectionService.java                                                                                                                                                                                                    com/bmwgroup/connected/app/JobIntentService.java                                                                                                                                                                                                    com/bmwgroup/connected/sdk/connectivity/internal/wifi/WifiServiceImpl.java                                                                                                                                                                                                    com/dexterous/flutterlocalnotifications/FlutterLocalNotificationsPlugin.java                                                                                                                                                                                                    com/mapbox/common/location/GoogleDeviceLocationProvider.java                                                                                                                                                                                                    com/mapbox/common/location/ProxyGoogleFusedLocationProviderClient.java                                                                                                                                                                                                    com/mapbox/common/movement/GoogleActivityRecognition.java                                                                                                                                                                                                    com/mapbox/common/movement/ProxyGoogleActivityRecognitionClient.java                                                                                                                                                                                                    com/paradoxcat/remote360framework/Remote360View.java                                                                                                                                                                                                    d9/j.java                                                                                                                                                                                                    de/bmw/connected/lib/alexa_in_car/speech/AlexaPlaybackErrorHandlerService$playStream$1.java                                                                                                                                                                                                    de/bmw/connected/lib/alexa_in_car/speech/AlexaPlaybackErrorHandlerService.java                                                                                                                                                                                                    e8/u.java                                                                                                                                                                                                    hk/t.java                                                                                                                                                                                                    io/flutter/plugins/firebase/messaging/JobIntentService.java                                                                                                                                                                                                    kf/m.java                                                                                                                                                                                                    n4/t2.java                                                                                                                                                                                                    n4/u2.java                                                                                                                                                                                                    n8/y.java                                                                                                                                                                                                    po/e.java                                                                                                                                                                                                    sp/f.java                                                                                                                                                                                                    vk/a.java                                                                                                                                                                                                    y1/c.java"
"android.permission.WRITE_CALENDAR","dangerous","add or modify calendar events and send emails to guests","Allows an application to add or change the events on your calendar, which may send emails to guests. Malicious applications can use this to erase or modify your calendar events or to send emails to guests.","Show Files                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    com/builttoroam/devicecalendar/CalendarDelegate.java                                                                                                                                                                                                    com/sensorsdata/analytics/android/sdk/data/SAProviderHelper.java                                                                                                                                                                                                    j0/u.java                                                                                                                                                                                                    me/leolin/shortcutbadger/impl/SonyHomeBadger.java                                                                                                                                                                                                    qh/a.java                                                                                                                                                                                                    t8/a.java"
"android.permission.WRITE_EXTERNAL_STORAGE","dangerous","read/modify/delete external storage contents","Allows an application to write to external storage.","Show Files                                                                                                                                                                                                                                                                                                                            a30/a.java                                                                                                                                                                                                    b20/w.java                                                                                                                                                                                                    b3/i0.java                                                                                                                                                                                                    b3/q.java                                                                                                                                                                                                    c/t/m/g/b3.java                                                                                                                                                                                                    c/t/m/g/g.java                                                                                                                                                                                                    c/t/m/g/k0.java                                                                                                                                                                                                    c/t/m/g/l3.java                                                                                                                                                                                                    c/t/m/g/n7.java                                                                                                                                                                                                    c/t/m/g/s6.java                                                                                                                                                                                                    c/t/m/g/w1.java                                                                                                                                                                                                    c2/j.java                                                                                                                                                                                                    ch/qos/logback/core/recovery/ResilientFileOutputStream.java                                                                                                                                                                                                    ch/qos/logback/core/rolling/helper/Compressor.java                                                                                                                                                                                                    ch/qos/logback/core/util/FileUtil.java                                                                                                                                                                                                    com/bmw/downloader/services/work/DownloadWorker.java                                                                                                                                                                                                    com/bmwgroup/connected/car/contentprovider/AssetsProvider.java                                                                                                                                                                                                    com/bmwgroup/connected/core/services/accessory/UsbAccessorySocket.java                                                                                                                                                                                                    com/bmwgroup/connected/sdk/connectivity/internal/security/model/certificates/InternalStorageStorePersistence.java                                                                                                                                                                                                    com/bmwgroup/connected/sdk/internal/connectivity/protocol/util/Installation.java                                                                                                                                                                                                    com/bmwgroup/connected/util/cache/FileBackedCacheSerializable.java                                                                                                                                                                                                    com/bmwgroup/connected/util/logging/internal/FileLoggingTree.java                                                                                                                                                                                                    com/bmwgroup/connected/util/util/Files.java                                                                                                                                                                                                    com/bmwgroup/connected/util/util/Installation.java                                                                                                                                                                                                    com/journeyapps/barcodescanner/a.java                                                                                                                                                                                                    com/sensorsdata/analytics/android/sdk/util/FileUtils.java                                                                                                                                                                                                    d7/b0.java                                                                                                                                                                                                    de/bmw/connected/lib/util/ZipUtils.java                                                                                                                                                                                                    ee/g.java                                                                                                                                                                                                    ei/c.java                                                                                                                                                                                                    f10/j.java                                                                                                                                                                                                    fn/c.java                                                                                                                                                                                                    io/flutter/embedding/engine/loader/ResourceExtractor.java                                                                                                                                                                                                    io/flutter/plugins/imagepicker/FileUtils.java                                                                                                                                                                                                    io/flutter/plugins/imagepicker/ImageResizer.java                                                                                                                                                                                                    j0/u.java                                                                                                                                                                                                    j3/a.java                                                                                                                                                                                                    ji/a.java                                                                                                                                                                                                    k7/a.java                                                                                                                                                                                                    km/q0.java                                                                                                                                                                                                    mm/g.java                                                                                                                                                                                                    np/a.java                                                                                                                                                                                                    px/k.java                                                                                                                                                                                                    px/m.java                                                                                                                                                                                                    qm/e.java                                                                                                                                                                                                    th/c.java                                                                                                                                                                                                    uh/b.java                                                                                                                                                                                                    x8/c.java"
"com.anddoes.launcher.permission.UPDATE_COUNT","normal","show notification count on app","Show notification count or badge on application launch icon for apex.",""
"com.google.android.c2dm.permission.RECEIVE","normal","recieve push notifications","Allows an application to receive push notifications from cloud.","Show Files                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                a10/b.java                                                                                                                                                                                                    io/flutter/plugins/firebase/messaging/FlutterFirebaseMessagingBackgroundExecutor.java                                                                                                                                                                                                    io/flutter/plugins/firebase/messaging/FlutterFirebaseMessagingPlugin.java                                                                                                                                                                                                    io/flutter/plugins/firebase/messaging/FlutterFirebaseMessagingReceiver.java                                                                                                                                                                                                    qj/b.java                                                                                                                                                                                                    qj/c.java"
"com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE","normal","permission defined by google","A custom permission defined by Google.",""
"com.google.android.gms.dck.permission.DIGITAL_KEY_READ","unknown","Unknown permission","Unknown permission from android reference",""
"com.google.android.gms.dck.permission.DIGITAL_KEY_WRITE","unknown","Unknown permission","Unknown permission from android reference",""
"com.htc.launcher.permission.READ_SETTINGS","normal","show notification count on app","Show notification count or badge on application launch icon for htc phones.",""
"com.htc.launcher.permission.UPDATE_SHORTCUT","normal","show notification count on app","Show notification count or badge on application launch icon for htc phones.",""
"com.huawei.android.launcher.permission.CHANGE_BADGE","normal","show notification count on app","Show notification count or badge on application launch icon for huawei phones.",""
"com.huawei.android.launcher.permission.READ_SETTINGS","normal","show notification count on app","Show notification count or badge on application launch icon for huawei phones.",""
"com.huawei.android.launcher.permission.WRITE_SETTINGS","normal","show notification count on app","Show notification count or badge on application launch icon for huawei phones.",""
"com.majeur.launcher.permission.UPDATE_BADGE","normal","show notification count on app","Show notification count or badge on application launch icon for solid.",""
"com.oppo.launcher.permission.READ_SETTINGS","normal","show notification count on app","Show notification count or badge on application launch icon for oppo phones.",""
"com.oppo.launcher.permission.WRITE_SETTINGS","normal","show notification count on app","Show notification count or badge on application launch icon for oppo phones.",""
"com.sec.android.provider.badge.permission.READ","normal","show notification count on app","Show notification count or badge on application launch icon for samsung phones.",""
"com.sec.android.provider.badge.permission.WRITE","normal","show notification count on app","Show notification count or badge on application launch icon for samsung phones.",""
"com.sonyericsson.home.permission.BROADCAST_BADGE","normal","show notification count on app","Show notification count or badge on application launch icon for sony phones.",""
"com.sonymobile.home.permission.PROVIDER_INSERT_BADGE","normal","show notification count on app","Show notification count or badge on application launch icon for sony phones.",""
"de.bmw.connected.mobile20.na.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION","unknown","Unknown permission","Unknown permission from android reference",""
"me.everything.badger.permission.BADGE_COUNT_READ","unknown","Unknown permission","Unknown permission from android reference",""
"me.everything.badger.permission.BADGE_COUNT_WRITE","unknown","Unknown permission","Unknown permission from android reference",""
"org.carconnectivity.android.digitalkey.permission.DIGITAL_KEY_READ","unknown","Unknown permission","Unknown permission from android reference",""
"org.carconnectivity.android.digitalkey.permission.DIGITAL_KEY_WRITE","unknown","Unknown permission","Unknown permission from android reference",""
