NO,ISSUE,SEVERITY,STANDARDS,FILES,OPTIONS,app,source_path
3,The App uses an insecure Random Number Generator.,warning,CWE: CWE-330: Use of Insufficiently Random Values                        OWASP Top 10: M5: Insufficient Cryptography                        OWASP MASVS: MSTG-CRYPTO-6,Show Files                                                                                                                                Ek/e.java                                                                                                                                      Ek/h.java                                                                                                                                      O1/P.java                                                                                                                                      T0/g.java                                                                                                                                      Xk/a.java                                                                                                                                      Xk/b.java                                                                                                                                      Yk/a.java                                                                                                                                      Z0/Y.java                                                                                                                                      com/adjust/sdk/Util.java                                                                                                                                      com/amazonaws/retry/PredefinedRetryPolicies.java                                                                                                                                      com/qualtrics/digital/SamplingUtil.java                                                                                                                                      io/grpc/internal/C.java                                                                                                                                      io/grpc/internal/E.java                                                                                                                                      io/grpc/internal/y0.java                                                                                                                                      j$/util/concurrent/ThreadLocalRandom.java                                                                                                                                      zk/C3920i.java,Suppress the rule android_insecure_random in com.honda.hondalink.connect                         Suppress the rule android_insecure_random in com.honda.hondalink.connect only from these files,Honda,/home/jovyan/work/SOEN 321/car_app_analysis/Honda/code_analysis.csv
4,"Files may contain hardcoded sensitive information like usernames, passwords, keys etc.",warning,CWE: CWE-312: Cleartext Storage of Sensitive Information                        OWASP Top 10: M9: Reverse Engineering                        OWASP MASVS: MSTG-STORAGE-14,Show Files                                                                                                                                A1/g.java                                                                                                                                      V0/f.java                                                                                                                                      Z0/C0880y.java                                                                                                                                      com/adjust/sdk/Constants.java                                                                                                                                      com/amazonaws/auth/CognitoCachingCredentialsProvider.java                                                                                                                                      com/amazonaws/auth/policy/conditions/ConditionFactory.java                                                                                                                                      com/amazonaws/cognito/clientcontext/data/UserContextDataProvider.java                                                                                                                                      com/amazonaws/cognito/clientcontext/datacollection/DeviceDataCollector.java                                                                                                                                      com/amazonaws/internal/keyvaluestore/AWSKeyValueStore.java                                                                                                                                      com/amazonaws/internal/keyvaluestore/KeyProvider18.java                                                                                                                                      com/amazonaws/mobile/auth/core/IdentityManager.java                                                                                                                                      com/amazonaws/mobile/client/AWSMobileClient.java                                                                                                                                      com/amazonaws/mobile/client/internal/oauth2/OAuth2Client.java                                                                                                                                      com/amazonaws/mobileconnectors/cognitoidentityprovider/util/CognitoDeviceHelper.java                                                                                                                                      com/amazonaws/mobileconnectors/cognitoidentityprovider/util/CognitoPinpointSharedContext.java                                                                                                                                      com/amazonaws/mobileconnectors/cognitoidentityprovider/util/CognitoServiceConstants.java                                                                                                                                      com/amazonaws/mobileconnectors/iot/AWSIotKeystoreHelper.java                                                                                                                                      com/amplitude/core/utilities/http/a.java                                                                                                                                      com/appdynamics/eumagent/runtime/b.java                                                                                                                                      com/att/iot/retail/sdk/ui/flows/promo/PromoFlow.java                                                                                                                                      com/att/iot/retail/sdk/ui/flows/trial/TrialFlow.java                                                                                                                                      com/att/iot/retail/sdk/ui/screens/cancelsurvey/CancelSurveyStep.java                                                                                                                                      com/att/iot/retail/sdk/ui/screens/cancelsurvey/CancelSurveyThankYouStep.java                                                                                                                                      com/att/iot/retail/sdk/ui/screens/editpaymentifno/EditPaymentInfoStep.java                                                                                                                                      com/att/iot/retail/sdk/ui/screens/editpaymentwebview/EditPaymentWebViewStep.java                                                                                                                                      com/att/iot/retail/sdk/ui/screens/editsubscriberinfo/EditSubscriberInfoStep.java                                                                                                                                      com/att/iot/retail/sdk/ui/screens/flowcompleted/FlowCompletedStep.java                                                                                                                                      com/att/iot/retail/sdk/ui/screens/managesubscription/ManageSubscriptionStep.java                                                                                                                                      com/att/iot/retail/sdk/ui/screens/paymentinfo/PaymentInfoStep.java                                                                                                                                      com/att/iot/retail/sdk/ui/screens/paymentwebview/PaymentWebViewStep.java                                                                                                                                      com/att/iot/retail/sdk/ui/screens/products/ProductsStep.java                                                                                                                                      com/att/iot/retail/sdk/ui/screens/registration/RegistrationStep.java                                                                                                                                      com/att/iot/retail/sdk/ui/screens/transastionsummary/TransactionSummaryStep.java                                                                                                                                      com/att/iot/retail/sdk/ui/screens/transastionsummarypromo/TransactionSummaryPromo.java                                                                                                                                      com/att/iot/retail/sdk/ui/screens/transastionsummarytrial/TransactionSummaryStepTrial.java                                                                                                                                      com/bumptech/glide/load/engine/d.java                                                                                                                                      com/bumptech/glide/load/engine/o.java                                                                                                                                      com/bumptech/glide/load/engine/t.java                                                                                                                                      com/honda/common/constants/AppConstants.java                                                                                                                                      com/honda/common/model/cporegistration/CPOAccountLinkRequestModel.java                                                                                                                                      com/honda/common/model/sendtocar/acurasendtocarsxmbody/Header.java                                                                                                                                      com/qualtrics/digital/EmbeddedFeedbackUtils.java                                                                                                                                      com/qualtrics/digital/EmbeddedFeedbackUtilsJava.java                                                                                                                                      com/qualtrics/digital/ExpressionDeserializer.java                                                                                                                                      com/qualtrics/digital/QualtricsPopOverFragment.java                                                                                                                                      com/qualtrics/digital/SDKUtils.java                                                                                                                                      com/qualtrics/digital/XMDUtils.java                                                                                                                                      com/qualtrics/digital/utils/TranslationUtils.java                                                                                                                                      com/uievolution/microserver/utils/HttpCatalogs.java                                                                                                                                      e1/C1969f.java                                                                                                                                      gg/b.java                                                                                                                                      io/grpc/internal/L0.java                                                                                                                                      io/reactivex/internal/schedulers/SchedulerPoolFactory.java                                                                                                                                      org/conscrypt/OpenSSLECKeyFactory.java                                                                                                                                      org/conscrypt/OpenSSLRSAKeyFactory.java                                                                                                                                      org/eclipse/paho/client/mqttv3/internal/wire/MqttConnack.java                                                                                                                                      org/eclipse/paho/client/mqttv3/internal/wire/MqttConnect.java                                                                                                                                      org/eclipse/paho/client/mqttv3/internal/wire/MqttDisconnect.java                                                                                                                                      org/eclipse/paho/client/mqttv3/internal/wire/MqttPingReq.java                                                                                                                                      org/eclipse/paho/client/mqttv3/internal/wire/MqttPingResp.java,Suppress the rule android_hardcoded in com.honda.hondalink.connect                         Suppress the rule android_hardcoded in com.honda.hondalink.connect only from these files,Honda,/home/jovyan/work/SOEN 321/car_app_analysis/Honda/code_analysis.csv
5,IP Address disclosure,warning,CWE: CWE-200: Information Exposure                                               OWASP MASVS: MSTG-CODE-2,Show Files                                                                                                                                com/uievolution/microserver/interceptor/httpsrequest/LocalHttpsInterceptor.java                                                                                                                                      com/uievolution/microserver/interceptor/request/TimestampInterceptor.java                                                                                                                                      com/uievolution/microserver/lwipdriver/LWIPParam.java                                                                                                                                      com/uievolution/microserver/wifidriver/WiFiDriver.java                                                                                                                                      org/conscrypt/CertificatePriorityComparator.java                                                                                                                                      org/conscrypt/ChainStrengthAnalyzer.java                                                                                                                                      org/conscrypt/EvpMdRef.java                                                                                                                                      org/conscrypt/OAEPParameters.java                                                                                                                                      org/conscrypt/OidData.java                                                                                                                                      org/conscrypt/OpenSSLCipherRSA.java                                                                                                                                      org/conscrypt/OpenSSLECGroupContext.java                                                                                                                                      org/conscrypt/OpenSSLProvider.java                                                                                                                                      org/conscrypt/OpenSSLSignature.java                                                                                                                                      org/conscrypt/TrustManagerImpl.java                                                                                                                                      org/conscrypt/ct/CTConstants.java,Suppress the rule android_ip_disclosure in com.honda.hondalink.connect                         Suppress the rule android_ip_disclosure in com.honda.hondalink.connect only from these files,Honda,/home/jovyan/work/SOEN 321/car_app_analysis/Honda/code_analysis.csv
6,App uses SQLite Database and execute raw SQL query. Untrusted user input in raw SQL queries can cause SQL Injection. Also sensitive information should be encrypted and written to the database.,warning,CWE: CWE-89: Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection')                        OWASP Top 10: M7: Client Code Quality,Show Files                                                                                                                                I2/M.java                                                                                                                                      I2/U.java                                                                                                                                      Z0/C0847d.java                                                                                                                                      Z0/C0853g.java                                                                                                                                      Z0/C0855h.java                                                                                                                                      com/uievolution/microserver/modules/KeyValueStore.java                                                                                                                                      com/uievolution/microserver/modules/messaging/h.java                                                                                                                                      i0/C2573c.java,Suppress the rule android_sql_raw_query in com.honda.hondalink.connect                         Suppress the rule android_sql_raw_query in com.honda.hondalink.connect only from these files,Honda,/home/jovyan/work/SOEN 321/car_app_analysis/Honda/code_analysis.csv
7,The App uses the encryption mode CBC with PKCS5/PKCS7 padding. This configuration is vulnerable to padding oracle attacks.,high,CWE: CWE-649: Reliance on Obfuscation or Encryption of Security-Relevant Inputs without Integrity Checking                        OWASP Top 10: M5: Insufficient Cryptography                        OWASP MASVS: MSTG-CRYPTO-3,Show Files                                                                                                                                com/uievolution/microserver/modules/KeyValueStore.java                                                                                                                                      com/uievolution/microserver/modules/canaria/CORSPolicy.java                                                                                                                                      uk/AbstractC3586a.java                                                                                                                                      wk/C3716a.java,Suppress the rule cbc_padding_oracle in com.honda.hondalink.connect                         Suppress the rule cbc_padding_oracle in com.honda.hondalink.connect only from these files,Honda,/home/jovyan/work/SOEN 321/car_app_analysis/Honda/code_analysis.csv
8,This App uses SSL certificate pinning to detect or  prevent MITM attacks in secure communication channel.,secure,OWASP MASVS: MSTG-NETWORK-4,Show Files                                                                                                                                F5/g.java                                                                                                                                      com/att/iot/retail/sdk/core/network/RetrofitFactory.java                                                                                                                                      com/qualtrics/digital/LatencyReportingService.java                                                                                                                                      com/qualtrics/digital/SiteInterceptService.java                                                                                                                                      org/conscrypt/Conscrypt.java                                                                                                                                      org/conscrypt/DefaultSSLContextImpl.java                                                                                                                                      org/conscrypt/SSLParametersImpl.java                                                                                                                                      org/eclipse/paho/client/mqttv3/internal/security/SSLSocketFactoryFactory.java,Suppress the rule android_ssl_pinning in com.honda.hondalink.connect                         Suppress the rule android_ssl_pinning in com.honda.hondalink.connect only from these files,Honda,/home/jovyan/work/SOEN 321/car_app_analysis/Honda/code_analysis.csv
9,App can write to App Directory. Sensitive Information should be encrypted.,info,CWE: CWE-276: Incorrect Default Permissions                                               OWASP MASVS: MSTG-STORAGE-14,Show Files                                                                                                                                E1/j.java                                                                                                                                      H0/e.java                                                                                                                                      K1/b.java                                                                                                                                      x1/C3722B.java                                                                                                                                      x1/C3724a.java                                                                                                                                      x1/I.java                                                                                                                                      x1/z.java,Suppress the rule android_write_app_dir in com.honda.hondalink.connect                         Suppress the rule android_write_app_dir in com.honda.hondalink.connect only from these files,Honda,/home/jovyan/work/SOEN 321/car_app_analysis/Honda/code_analysis.csv
10,Ensure that user controlled URLs never reaches the Webview. Enabling file access from URLs in WebView can leak sensitive information from the file system.,warning,CWE: CWE-200: Information Exposure                        OWASP Top 10: M1: Improper Platform Usage                        OWASP MASVS: MSTG-PLATFORM-7,Show Files                                                                                                                                A9/j.java                                                                                                                                      bd/C1135b.java                                                                                                                                      com/honda/common/module/webview/activity/WebViewActivity.java                                                                                                                                      fb/ViewOnClickListenerC2394k.java                                                                                                                                      fb/s.java                                                                                                                                      od/C3163c.java,Suppress the rule android_webview_allow_file_from_url in com.honda.hondalink.connect                         Suppress the rule android_webview_allow_file_from_url in com.honda.hondalink.connect only from these files,Honda,/home/jovyan/work/SOEN 321/car_app_analysis/Honda/code_analysis.csv
11,SHA-1 is a weak hash known to have hash collisions.,warning,CWE: CWE-327: Use of a Broken or Risky Cryptographic Algorithm                        OWASP Top 10: M5: Insufficient Cryptography                        OWASP MASVS: MSTG-CRYPTO-4,Show Files                                                                                                                                U4/z.java                                                                                                                                      X1/a.java                                                                                                                                      Y4/b.java                                                                                                                                      com/uievolution/microserver/utils/Utils.java                                                                                                                                      org/eclipse/paho/client/mqttv3/internal/websocket/WebSocketHandshake.java                                                                                                                                      uk/AbstractC3586a.java,Suppress the rule android_sha1 in com.honda.hondalink.connect                         Suppress the rule android_sha1 in com.honda.hondalink.connect only from these files,Honda,/home/jovyan/work/SOEN 321/car_app_analysis/Honda/code_analysis.csv
12,App can read/write to External Storage. Any App can read data written to External Storage.,warning,CWE: CWE-276: Incorrect Default Permissions                        OWASP Top 10: M2: Insecure Data Storage                        OWASP MASVS: MSTG-STORAGE-2,Show Files                                                                                                                                Kb/d.java                                                                                                                                      O1/P.java                                                                                                                                      Ve/b.java                                                                                                                                      com/honda/common/module/microserver/view/activity/MicroserverActivity.java                                                                                                                                      com/honda/common/utils/logger/ViewLogsActivity.java                                                                                                                                      hk/C2561a.java                                                                                                                                      hk/h.java                                                                                                                                      hk/i.java                                                                                                                                      hk/j.java                                                                                                                                      vk/C3631b.java,Suppress the rule android_read_write_external in com.honda.hondalink.connect                         Suppress the rule android_read_write_external in com.honda.hondalink.connect only from these files,Honda,/home/jovyan/work/SOEN 321/car_app_analysis/Honda/code_analysis.csv
13,This App use Realm Database with encryption.,secure,OWASP MASVS: MSTG-CRYPTO-1,f6/C2376c.java,Suppress the rule android_db_encryption in com.honda.hondalink.connect                         Suppress the rule android_db_encryption in com.honda.hondalink.connect only from these files,Honda,/home/jovyan/work/SOEN 321/car_app_analysis/Honda/code_analysis.csv
14,This App may have root detection capabilities.,secure,OWASP MASVS: MSTG-RESILIENCE-1,c4/v.java                                                                                                                            com/honda/common/utils/f0.java,Suppress the rule android_detect_root in com.honda.hondalink.connect                         Suppress the rule android_detect_root in com.honda.hondalink.connect only from these files,Honda,/home/jovyan/work/SOEN 321/car_app_analysis/Honda/code_analysis.csv
15,This App copies data to clipboard. Sensitive data should not be copied to clipboard as other applications can access it.,info,OWASP MASVS: MSTG-STORAGE-10,Ni/d.java,Suppress the rule android_clipboard_copy in com.honda.hondalink.connect                         Suppress the rule android_clipboard_copy in com.honda.hondalink.connect only from these files,Honda,/home/jovyan/work/SOEN 321/car_app_analysis/Honda/code_analysis.csv
16,App creates temp file. Sensitive information should never be written into a temp file.,warning,CWE: CWE-276: Incorrect Default Permissions                        OWASP Top 10: M2: Insecure Data Storage                        OWASP MASVS: MSTG-STORAGE-2,Y4/c.java                                                                                                                            b0/C1099c.java                                                                                                                            com/uievolution/microserver/modules/c.java,Suppress the rule android_temp_file in com.honda.hondalink.connect                         Suppress the rule android_temp_file in com.honda.hondalink.connect only from these files,Honda,/home/jovyan/work/SOEN 321/car_app_analysis/Honda/code_analysis.csv
17,Insecure WebView Implementation. Execution of user controlled code in WebView is a critical Security Hole.,warning,CWE: CWE-749: Exposed Dangerous Method or Function                        OWASP Top 10: M1: Improper Platform Usage                        OWASP MASVS: MSTG-PLATFORM-7,A9/j.java                                                                                                                            com/qualtrics/digital/QualtricsSurveyFragment.java                                                                                                                            od/C3163c.java,Suppress the rule android_webview in com.honda.hondalink.connect                         Suppress the rule android_webview in com.honda.hondalink.connect only from these files,Honda,/home/jovyan/work/SOEN 321/car_app_analysis/Honda/code_analysis.csv
18,"Calling Cipher.getInstance(""AES"") will return AES ECB mode by default. ECB mode is known to be weak as it results in the same ciphertext for identical blocks of plaintext.",high,CWE: CWE-327: Use of a Broken or Risky Cryptographic Algorithm                        OWASP Top 10: M5: Insufficient Cryptography                        OWASP MASVS: MSTG-CRYPTO-2,com/honda/common/utils/AbstractC1886k.java,Suppress the rule android_aws_ecb_default in com.honda.hondalink.connect                         Suppress the rule android_aws_ecb_default in com.honda.hondalink.connect only from these files,Honda,/home/jovyan/work/SOEN 321/car_app_analysis/Honda/code_analysis.csv
19,Insecure Implementation of SSL. Trusting all the certificates or accepting self signed certificates is a critical Security Hole. This application is vulnerable to MITM attacks,high,CWE: CWE-295: Improper Certificate Validation                        OWASP Top 10: M3: Insecure Communication                        OWASP MASVS: MSTG-NETWORK-3,org/conscrypt/Conscrypt.java,Suppress the rule android_insecure_ssl in com.honda.hondalink.connect                         Suppress the rule android_insecure_ssl in com.honda.hondalink.connect only from these files,Honda,/home/jovyan/work/SOEN 321/car_app_analysis/Honda/code_analysis.csv
