"PERMISSION","STATUS","INFO","DESCRIPTION","CODE MAPPINGS"
"android.permission.WRITE_EXTERNAL_STORAGE","dangerous","read/modify/delete external storage contents","Allows an application to write to external storage.","Show Files                                                                                                                                                                                                                                                        cariad/charging/multicharge/retrofit/coroutineAdapter/FileConverter.java                                                                                                                                                                                                    com/adobe/marketing/mobile/AndroidCompressedFileService.java                                                                                                                                                                                                    com/adobe/marketing/mobile/FileUtil.java                                                                                                                                                                                                    com/adobe/marketing/mobile/RemoteDownloader.java                                                                                                                                                                                                    com/adobe/marketing/mobile/ZipBundleHandler.java                                                                                                                                                                                                    de/audi/onetouch/cms/StringManager$commitNewStrings$2.java                                                                                                                                                                                                    de/audi/onetouch/cms/downloadactions/MarketResourceDownloadFileAction.java                                                                                                                                                                                                    de/audi/onetouch/commons/persistence/Persistence$writeBinaryDataToFile$2.java                                                                                                                                                                                                    de/audi/onetouch/util/share/FileSharing$createTextFile$2.java                                                                                                                                                                                                    de/audi/onetouch/util/share/FileSharing$shareBitmap$2.java                                                                                                                                                                                                    de/audi/onetouch/util/share/FileSharing$zipAndShareFiles$2.java                                                                                                                                                                                                    de/audi/onetouch/util/share/FileSharing.java                                                                                                                                                                                                    okio/Okio__JvmOkioKt.java                                                                                                                                                                                                    org/altbeacon/beacon/distance/ModelSpecificDistanceCalculator.java                                                                                                                                                                                                    org/eclipse/jetty/http/MultiPartFormInputStream.java                                                                                                                                                                                                    org/eclipse/jetty/security/PropertyUserStore.java                                                                                                                                                                                                    org/eclipse/jetty/server/session/FileSessionDataStore.java                                                                                                                                                                                                    org/eclipse/jetty/servlets/PutFilter.java                                                                                                                                                                                                    org/eclipse/jetty/util/IO.java                                                                                                                                                                                                    org/eclipse/jetty/util/MultiPartInputStreamParser.java                                                                                                                                                                                                    org/eclipse/jetty/util/RolloverFileOutputStream.java                                                                                                                                                                                                    org/eclipse/jetty/util/resource/JarResource.java                                                                                                                                                                                                    org/eclipse/jetty/util/resource/Resource.java                                                                                                                                                                                                    technology/cariad/cat/geokit/DiskLruCache.java                                                                                                                                                                                                    technology/cariad/cat/google/places/GooglePlaceClient.java                                                                                                                                                                                                    technology/cariad/cat/imagecache/DiskCache.java                                                                                                                                                                                                    technology/cariad/cat/logger/sink/EncryptedFileLogSink.java"
"com.google.android.c2dm.permission.RECEIVE","normal","recieve push notifications","Allows an application to receive push notifications from cloud.",""
"de.myaudi.mobile.assistant.beaconscanner.permission.BEACONS","unknown","Unknown permission","Unknown permission from android reference",""
"de.myaudi.mobile.assistant.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION","unknown","Unknown permission","Unknown permission from android reference",""
"de.myaudi.mobile.assistant.genx.permission.BEACON_RANGING","unknown","Unknown permission","Unknown permission from android reference",""
"de.myaudi.mobile.assistant.reachability.permission.CAR_WIFI","unknown","Unknown permission","Unknown permission from android reference",""
"de.myaudi.mobile.assistant.reachability.permission.MIB_PRESENCE","unknown","Unknown permission","Unknown permission from android reference",""
"de.myaudi.mobile.assistant.rhmi.permission.READ_VEHICLE_DATA","unknown","Unknown permission","Unknown permission from android reference",""
"de.myaudi.mobile.assistant.rhmi.permission.VEHICLE_CONNECTIVTY","unknown","Unknown permission","Unknown permission from android reference",""
"org.simalliance.openmobileapi.SMARTCARD","unknown","Unknown permission","Unknown permission from android reference",""
